Re,Pr,rough,T_amb,wall,L_over_D,Nu
18520.8,0.202412,0.0469213,309.526,358.103,14.2166,31.218
6755.59,15.6411,0.041869,297.22,308.336,16.0562,83.7892
9279.23,0.268683,0.0376234,304.178,317.152,12.8631,18.0094
15410.5,6.62213,0.0306409,290.137,339.488,18.1912,111.179
29644.1,1.46316,0.063929,309.863,314.36,21.355,96.8905
6342.26,0.596079,0.0206462,303.153,334.58,11.9082,22.19
18075.8,8.8853,0.0266946,309.734,343.098,16.0345,135.452
94646.1,11.4344,0.0584921,307.972,350.065,24.0076,642.132
62148.5,0.726849,0.0716859,297.751,356.154,20.5659,132.556
92884.3,0.356522,0.0784518,289.075,323.301,11.764,139.155
21576.5,1.86134,0.0472081,286.903,348.479,22.8136,90.0405
3655.98,10.0541,0.0302958,288.593,339.275,18.2359,43.2678
1624.3,0.268752,0.0310579,301.89,339.087,11.7526,4.74522
2312.45,6.43658,0.0276639,309.791,357.24,23.0501,25.4202
922.112,14.9331,0.0330802,303.017,351.925,11.4078,16.8744
43007.9,6.42596,0.0254564,287.407,308.948,16.1299,243.293
67285.6,0.78555,0.0736374,306.544,337.978,20.0359,142.46
3734.9,0.490256,0.0285458,308.274,357.975,12.3979,13.2887
960.999,6.19953,0.0371005,291.093,308.905,22.3177,12.3056
11154.5,1.30387,0.0580462,293.621,314.716,18.0406,44.6845
1030.74,0.49896,0.0542205,301.149,301.795,14.8942,4.68372
20652.3,0.963339,0.0348217,300.032,300.816,23.8553,60.9126
20013.5,0.344944,0.014914,305.356,308.488,20.6586,39.3881
3484.01,2.18446,0.0747885,286.804,306.609,12.6,22.3368
11284.8,1.05633,0.0644449,291.575,305.013,24.9773,41.4774
59745.6,0.327171,0.0374023,300.186,331.444,15.7681,100.089
3323.32,13.779,0.0533141,298.531,302.546,12.4545,43.2864
1743.81,3.30575,0.052822,285.48,304.041,10.4684,14.1057
21098.4,6.61402,0.0551324,301.853,357.497,10.3373,144.318
913.249,7.38593,0.0478806,299.115,322.487,11.61,11.422
5255.98,0.213473,0.0454442,298.767,341.171,22.9159,11.823
1110.34,1.1496,0.0614759,290.086,352.497,21.7114,6.93249
27019.7,0.23186,0.0661428,308.933,320.191,23.6575,44.1053
8358.06,2.75488,0.0405203,290.127,308.68,24.0759,49.4841
16028.6,2.66899,0.0209646,288.835,357.263,14.0942,67.088
4136.86,14.4311,0.0541315,296.994,300.165,19.4975,53.8554
104633,0.438608,0.0553285,307.145,335.336,18.7722,162.867
13788.4,6.22401,0.0710373,294.804,345.558,20.7317,102.387
70067,1.07939,0.0767316,297.682,338.552,16.4475,179.733
18566.1,5.92031,0.0186653,285.181,347.187,21.7053,117.354
33546,0.232254,0.0264158,286.342,318.341,24.0554,50.1355
23098.9,0.376501,0.0550871,304.865,339.75,17.0562,43.8622
78707.2,1.52756,0.0736871,309.917,336.452,12.9646,217.208
15732.1,10.6897,0.0357258,307.841,302.884,16.7452,146.448
9971.25,1.5033,0.0657064,292.695,348.534,23.5953,43.8838
12859.9,2.12165,0.0361882,309.034,339.073,17.7287,63.734
